,ID,NAME,CATEGORY,ADDRESS_2,ADDRESS_1,LNG,LAT,REVIEW_COUNT,STAR_MEAN
84,36395290,호텔라온제나,호텔,범어동 805-4,대구 수성구 범어동,128.6224259,35.8536728,169,4.41
85,1707844775,시월애호텔,모텔,신천동 116-11,대구 동구 신천동,128.6245932,35.8692227,18,3.75
86,450414130,공룡공원,테마공원,봉덕동 1256,대구 남구 봉덕동,128.6033946,35.8299253,20,3.98
87,12786747,모텔 마이더스,모텔,범어3동 42-1,대구 수성구 범어3동,128.624108,35.859744,23,3.87
88,1756346438,체리시호텔,모텔,황금동 850-1,대구 수성구 황금동,128.6231588,35.8408329,28,3.86
89,16150109,부티크호텔 2월 수성점,호텔,중동 188-3,대구 수성구 중동,128.6155481,35.8408273,29,3.95
90,33646423,A4모텔,모텔,신천동 292-14,대구 동구 신천동,128.6264665,35.8733651,17,4.47
91,1653473662,호텔 맥심,모텔,신천동 297-11,대구 동구 신천동,128.6270371,35.8696131,19,4.37
92,1629184882,보잉호텔 수성점,모텔,황금동 687-4,대구 수성구 황금동,128.623068,35.846452,22,4.25
93,68685079,대구아쿠아리움,아쿠아리움,신천동 1506,대구 동구 신천동,128.6291671,35.8777043,10168,4.39
94,13591456,프린스모텔,모텔,범어동 39-8,대구 수성구 범어동,128.62425,35.8606903,10,4.4
95,37421361,자야모텔,모텔,중동 259-7,대구 수성구 중동,128.612225,35.843949,17,4.59
96,13309592,인더호텔,모텔,신천동 318-2,대구 동구 신천동,128.6276561,35.8708762,15,4.2
97,11658875,대구 그랜드호텔,호텔,범어동 563-1,대구 수성구 범어동,128.6253149,35.8576433,78,4.26
98,37483628,호텔블랑,모텔,신천동  292-10,대구 동구 신천동,128.6263,35.8720403,46,4.39
99,1308137846,호텔포레스트701,모텔,신천동 297-8,대구 동구 신천동,128.6271284,35.8688926,63,4.51
100,1586418722,이스턴호텔,호텔,신천동 290-9,대구 동구 신천동,128.626597,35.8744774,22,4.7
101,1001168558,호텔시리즈4.5,호텔,신천동 322-9,대구 동구 신천동,128.6277069,35.8720275,28,4.36
102,35644199,헤라호텔,모텔,신암동  349-4,대구 동구 신암동,128.630281,35.881649,51,4.35
103,11382806,샹그리라 모텔,모텔,신천동 292-13,대구 동구 신천동,128.6267094,35.8730739,14,4.07
104,37483392,뉴욕모텔,모텔,신천동 336-1,대구 동구 신천동,128.6281011,35.8718429,26,4.25
105,1983492894,호텔 여기어때 동대구1호점,호텔,신암동 349-6,대구 동구 신암동,128.6301105,35.8812728,54,4.45
106,1563340476,호텔하루,모텔,신천동 339-6,대구 동구 신천동,128.6282156,35.8712187,33,4.47
107,38296670,스테이22 호텔,모텔,신천4동 324-1,대구 동구 신천4동,128.6271344,35.8734232,20,4.13
