field_1,wkt_geom,field_1_1,osmid,color,y,x,street_cou,lon,lat,highway,ref,geometry
"4899",Point (128.6151409000000001 35.89299359999999695),"24615","5608611383",#0d0887,"3972148.377","465266.6833","1","128.6151409","35.8929936",,,POINT (465266.6832955117 3972148.376556037)
"4900",Point (128.61690079999999625 35.88718020000000308),"24622","5608611395",#0d0887,"3971502.969","465422.9866","3","128.6169008","35.8871802",,,POINT (465422.98659769306 3971502.9687457336)
"4901",Point (128.61683980000000815 35.88683209999999946),"24623","5608611411",#0d0887,"3971464.381","465417.3296","3","128.6168398","35.8868321",,,POINT (465417.32960145955 3971464.381404655)
"4902",Point (128.61715090000001283 35.88714259999999712),"24624","5608611396",#0d0887,"3971498.71","465445.5434","1","128.6171509","35.8871426",,,POINT (465445.54340210394 3971498.7099580197)
"4903",Point (128.61616520000001174 35.88671570000000344),"24625","5608611401",#0d0887,"3971451.71","465356.3916","1","128.6161652","35.8867157",,,POINT (465356.39162986935 3971451.7099916507)
"4904",Point (128.61634920000000193 35.88602939999999819),"24626","5608611403",#0d0887,"3971375.525","465372.7001","1","128.6163492","35.8860294",,,POINT (465372.7001372894 3971375.5249938923)
"4905",Point (128.61856869999999731 35.88520119999999736),"24627","5608611404",#0d0887,"3971282.883","465572.6688","3","128.6185687","35.8852012",,,POINT (465572.66877471213 3971282.882596691)
"4906",Point (128.61917059999998969 35.88499980000000278),"24628","9173601366",#0d0887,"3971260.333","465626.9085","3","128.6191706","35.8849998",,,POINT (465626.9084521693 3971260.3328346736)
"4915",Point (128.61208479999999099 35.89386660000000262),"24640","5624667085",#0d0887,"3972246.294","464991.255","1","128.6120848","35.8938666",,,POINT (464991.25501747074 3972246.29448201)
"4920",Point (128.61458989999999858 35.88554419999999823),"24645","7966908251",#0d0887,"3971322.335","465213.6975","3","128.6145899","35.8855442",,,POINT (465213.69745304115 3971322.334556059)
"4921",Point (128.61515760000000341 35.88577430000000135),"24646","7966908253",#0d0887,"3971347.654","465265.0376","4","128.6151576","35.8857743",,,POINT (465265.03758332983 3971347.6538137672)
"4922",Point (128.61482599999999366 35.88529009999999886),"24648","5635283396",#0d0887,"3971294.067","465234.8964","1","128.614826","35.8852901",,,POINT (465234.89638431405 3971294.0674899495)
"4956",Point (128.58251210000000242 35.88212510000000321),"25218","6110811719",#0d0887,"3970955.002","462316.7877","3","128.5825121","35.8821251",,,POINT (462316.7876632393 3970955.001858291)
"4957",Point (128.58302480000000401 35.8820256999999998),"25219","6110811734",#0d0887,"3970943.78","462363.0181","3","128.5830248","35.8820257",,,POINT (462363.01812253596 3970943.7795469305)
