field_1,osmid,color,y,x,street_cou,lon,lat,highway,ref,geometry
"13453","3738923081",#0d0887,"3965574.284682047","464605.6473234861","4","128.6081084","35.8336983",,,POINT (464605.64732348605 3965574.2846820466)
"13454","3738923071",#0d0887,"3965574.6137589472","464587.1784906344","4","128.6079039","35.8337006",,,POINT (464587.17849063437 3965574.6137589472)
"13455","3738923077",#0d0887,"3965673.792116142","464748.3772275304","4","128.6096843","35.8346006",,,POINT (464748.37722753035 3965673.792116142)
"13456","3738923080",#0d0887,"3965588.6102346014","464745.5537431426","4","128.6096568","35.8338325",,,POINT (464745.55374314263 3965588.6102346024)
"13495","3738923139",#0d0887,"3965487.763918949","464022.3877345045","3","128.6016545","35.832897",,,POINT (464022.38773450453 3965487.7639189484)
"13496","3738923118",#0d0887,"3965391.3822115823","464078.98771113314","4","128.6022855","35.8320301",,,POINT (464078.98771113314 3965391.3822115823)
"13497","3738923138",#0d0887,"3965445.427507049","464044.3076891914","3","128.6018991","35.8325161",,,POINT (464044.3076891914 3965445.427507049)
"13498","6861948441",#0d0887,"3965345.321436896","464103.0968885106","3","128.6025545","35.8316157",,,POINT (464103.0968885106 3965345.3214368955)
"13499","3738923128",#0d0887,"3965412.8604544345","464135.0555236855","4","128.6029053","35.8322258",,,POINT (464135.0555236855 3965412.8604544345)
"13500","3738923124",#0d0887,"3965553.229335813","464174.3628219898","3","128.6033342","35.8334928",,,POINT (464174.3628219898 3965553.2293358124)
"13501","6861948426",#0d0887,"3965559.65758264","464191.9649155411","3","128.6035288","35.8335514",,,POINT (464191.9649155411 3965559.65758264)
"13502","6861948428",#0d0887,"3965551.846739401","464170.68123955786","3","128.6032935","35.8334802",,,POINT (464170.68123955786 3965551.846739401)
"13503","3738923150",#0d0887,"3965325.9723321465","464183.7925622816","4","128.6034488","35.8314442",,,POINT (464183.7925622816 3965325.9723321465)
"13504","3738923132",#0d0887,"3965514.416889114","464076.8593970164","5","128.6022564","35.8331393",,,POINT (464076.8593970164 3965514.416889114)
"13505","3738923131",#0d0887,"3965259.28490322","464229.0626527052","1","128.603953","35.8308446",,,POINT (464229.0626527052 3965259.28490322)
"13506","6861948432",#0d0887,"3965525.575386894","464101.2999531229","3","128.6025265","35.8332408",,,POINT (464101.2999531229 3965525.575386894)
"13507","5305241472",#0d0887,"3965603.0392851126","464046.37584017497","3","128.6019149","35.8339372",,,POINT (464046.37584017497 3965603.0392851126)
"13508","3738923133",#0d0887,"3965583.299837329","464256.1417084761","3","128.6042383","35.8337669",,,POINT (464256.1417084761 3965583.2998373285)
"13509","3738923134",#0d0887,"3965588.276894421","464276.0860958194","3","128.6044589","35.8338125",,,POINT (464276.0860958194 3965588.2768944204)
"13510","6861948422",#0d0887,"3965575.366324923","464234.9840979863","3","128.6040044","35.8336946",,,POINT (464234.98409798625 3965575.366324923)
"13511","6861948420",#0d0887,"3965613.990187815","464245.0753869641","1","128.6041144","35.8340432",,,POINT (464245.0753869641 3965613.990187815)
"13512","3738923140",#0d0887,"3965259.491181015","464148.0267054285","3","128.6030558","35.8308435",,,POINT (464148.0267054285 3965259.491181015)
"13513","3738923154",#0d0887,"3965194.7476893417","464107.7422110885","3","128.6026127","35.8302583",,,POINT (464107.7422110885 3965194.7476893417)
"14064","7117301044",#0d0887,"3968804.010749077","464338.6993746854","3","128.6050084","35.8628077",,,POINT (464338.6993746854 3968804.0107490765)
"14066","3791284261",#0d0887,"3968714.975409352","464584.9844659548","3","128.6077402","35.8620139",,,POINT (464584.98446595477 3968714.975409352)
"14103","3793705879",#0d0887,"3969266.6606501294","465595.9043313498","3","128.6189132","35.8670239",,,POINT (465595.9043313498 3969266.6606501304)
"14104","3793702415",#0d0887,"3969090.988055707","465546.2595463715","3","128.6183709","35.8654383",,,POINT (465546.2595463715 3969090.988055707)
"14105","4185233895",#0d0887,"3969074.221386027","465576.6103441801","3","128.6187078","35.8652882",,,POINT (465576.6103441801 3969074.221386027)
"14106","3793705689",#0d0887,"3970061.37893787","465342.699742584","4","128.616074","35.8741801",,,POINT (465342.699742584 3970061.37893787)
"14107","4636709555",#0d0887,"3970056.018519892","465289.8962692212","3","128.6154893","35.8741299",,,POINT (465289.8962692212 3970056.018519892)
"14116","4864256070",#0d0887,"3969560.4796915622","465477.8467289234","3","128.6175928","35.8696688",,,POINT (465477.84672892344 3969560.4796915627)
"14117","3793705703",#0d0887,"3969527.0289721168","465699.4838838305","4","128.6200493","35.869375",,,POINT (465699.4838838305 3969527.0289721168)
"14118","3793705716",#0d0887,"3969392.439013789","465592.7562424149","3","128.6188729","35.8681578",,,POINT (465592.75624241494 3969392.4390137885)
"14121","3793705706",#0d0887,"3969565.833105268","465294.9470664087","3","128.6155666","35.8697106",,,POINT (465294.9470664087 3969565.833105268)
"14122","4185233917",#0d0887,"3969554.057730534","465358.9348089453","4","128.6162759","35.8696067",,,POINT (465358.93480894534 3969554.057730534)
"14123","3793705715",#0d0887,"3969377.472754148","465553.9318679635","3","128.6184435","35.8680215",,,POINT (465553.9318679635 3969377.4727541483)
"14124","3793705722",#0d0887,"3969378.147855078","465548.62606431695","4","128.6183847","35.8680274",crossing,,POINT (465548.62606431695 3969378.147855078)
"14125","3793705721",#0d0887,"3969368.3612689744","465541.1036882281","4","128.6183018","35.8679389",crossing,,POINT (465541.1036882281 3969368.3612689744)
"14126","3793705719",#0d0887,"3969353.147910949","465503.1267821707","3","128.6178818","35.8678004",,,POINT (465503.1267821707 3969353.1479109493)
"14127","4185233914",#0d0887,"3969376.3528688047","465318.7130499093","3","128.6158381","35.8680031",,,POINT (465318.71304990933 3969376.3528688047)
"14128","3793705727",#0d0887,"3969364.7806318616","465546.2988499216","3","128.6183595","35.8679068",,,POINT (465546.2988499216 3969364.7806318616)
"14129","3793705738",#0d0887,"3969387.374525603","465560.36228994455","1","128.6185143","35.868111",,,POINT (465560.36228994455 3969387.374525603)
"14130","4864256067",#0d0887,"3969490.9088090206","465487.6858354116","3","128.6177048","35.8690419",,,POINT (465487.6858354116 3969490.9088090206)
"14132","4185233896",#0d0887,"3969302.681157565","465648.344092575","3","128.6194925","35.8673505",,,POINT (465648.344092575 3969302.681157565)
"14133","3793705756",#0d0887,"3969249.3511340953","465740.2681859318","3","128.620513","35.8668729",,,POINT (465740.2681859318 3969249.3511340953)
"14135","3793705878",#0d0887,"3969193.389093298","465678.8943830036","3","128.6198356","35.8663662",,,POINT (465678.8943830036 3969193.389093298)
