name,month,H_M_10,H_M_20,H_M_30,H_M_40,H_M_50,H_M_60,H_M_70,H_W_10,H_W_20,H_W_30,H_W_40,H_W_50,H_W_60,H_W_70,W_M_10,W_M_20,W_M_30,W_M_40,W_M_50,W_M_60,W_M_70,W_W_10,W_W_20,W_W_30,W_W_40,W_W_50,W_W_60,W_W_70,V_M_10,V_M_20,V_M_30,V_M_40,V_M_50,V_M_60,V_M_70,V_W_10,V_W_20,V_W_30,V_W_40,V_W_50,V_W_60,V_W_70
칠성신천,7,113241.9099999999,75847.69,85720.89000000007,80119.17999999998,76939.42000000003,65785.31999999998,63584.45,102919.28000000003,62671.16000000003,91006.95999999998,92584.16000000003,95385.19,89181.35000000005,98360.03999999979,5055.550000000004,10856.040000000012,14862.050000000001,19437.280000000013,18419.940000000002,10510.489999999998,5084.229999999999,5096.67000000001,12217.980000000016,15596.740000000003,18162.63000000003,17239.42,12166.05,6674.420000000004,28038.40000000005,32524.01000000003,29426.369999999984,31316.980000000025,28969.919999999966,21133.390000000018,13028.82,25475.909999999996,27751.059999999994,26545.859999999997,29003.58000000004,28659.539999999997,24118.290000000005,17060.549999999996
칠성신천,8,117758.10999999994,77542.95999999996,90452.60999999993,85097.0300000001,81056.5,68535.84999999999,65513.21999999999,108042.92999999996,63725.80999999998,93179.31999999998,96207.37000000013,98807.72000000003,90421.69999999995,101110.03999999988,4458.889999999999,9773.840000000017,14831.530000000006,17598.539999999975,16670.18999999997,9615.890000000003,4623.6,4040.0200000000036,11479.769999999993,15046.19,16794.800000000003,15971.80999999999,11419.710000000012,5835.019999999995,26827.890000000003,32256.29000000002,28646.729999999992,30748.860000000004,27856.539999999986,20031.41999999999,12838.949999999997,24250.690000000024,27109.239999999998,25701.989999999994,28455.440000000006,27977.34999999996,23397.750000000004,16739.030000000024
칠성신천,9,109176.06000000003,79909.17,85524.84000000005,83098.32999999984,78586.37999999999,67044.73999999996,64299.57999999998,99348.97999999984,62620.65000000006,89889.72999999998,94433.89000000001,96775.8900000001,88655.36999999995,98660.03999999992,10272.679999999998,9180.200000000006,13813.649999999976,17928.540000000005,16403.550000000007,9526.21,4695.210000000001,8658.629999999997,11200.950000000012,14205.590000000007,17293.700000000033,15823.240000000023,11439.41,6142.850000000002,27365.629999999994,32738.989999999976,30640.320000000043,32192.200000000004,28533.540000000023,20020.190000000006,12447.479999999985,23882.74999999997,27575.350000000002,26970.56000000002,29407.87999999999,27586.660000000007,22725.399999999987,16217.079999999994
칠성신천,10,115515.05999999998,85262.93000000012,90329.81999999998,86749.98999999999,81247.88999999998,68250.33999999998,66218.57999999999,104248.67000000001,66243.48000000005,94404.76999999989,98122.58999999994,98864.91999999993,89913.02999999997,102404.50999999994,10173.259999999997,9621.090000000004,15074.05999999999,18926.000000000007,17484.270000000015,10642.74000000001,5067.540000000016,8973.709999999995,11953.660000000014,15021.540000000003,17897.290000000005,17269.02999999999,12603.309999999985,6140.390000000001,25709.429999999993,32684.489999999983,30256.16999999999,30824.089999999997,28791.339999999997,20667.589999999986,12899.369999999994,23571.93,27922.16999999996,26605.210000000017,29405.399999999976,28385.27999999999,23687.289999999994,17736.120000000014
칠성신천,11,108272.09999999999,77244.75999999992,82687.22999999994,79110.68999999993,75905.93000000002,63334.33999999993,61459.20999999996,98830.19000000009,59863.9699999999,89125.64000000009,90796.44999999995,92480.55999999995,83843.1100000001,97338.35,9895.479999999989,9828.979999999998,15201.909999999993,18769.750000000015,18457.470000000012,9934.769999999997,4276.660000000012,8877.590000000007,12254.919999999993,16022.889999999994,18133.470000000023,17652.900000000016,11738.460000000006,5979.179999999996,26943.830000000013,32239.070000000018,29275.930000000008,31892.729999999967,28874.090000000022,20444.969999999965,13446.26999999998,22898.050000000007,27626.229999999992,27082.579999999984,30002.10000000002,29120.810000000063,24377.07000000001,18718.920000000006
칠성신천,12,114394.47000000002,79939.4499999999,87902.12999999996,83828.85000000012,79702.51,68283.91999999995,63840.19999999997,104050.07000000012,63958.84000000003,94013.45000000003,93312.85000000006,97838.47,89246.1299999999,100770.69000000003,10573.890000000001,11016.589999999997,16742.03,20721.259999999987,20160.45000000004,10954.01,5410.110000000007,8183.750000000006,13297.960000000006,17045.390000000003,19401.500000000025,18143.410000000036,13581.569999999992,6598.57999999999,26856.669999999973,32706.48000000002,29567.340000000015,32368.730000000025,29341.94999999999,20399.24999999999,12852.32999999999,24676.430000000008,29581.64999999998,27486.869999999995,29270.08000000003,28988.41000000001,23720.950000000008,17202.450000000008
침산,1,8898.580000000002,7940.260000000005,5948.9000000000015,7058.100000000002,8948.770000000004,7794.540000000002,4893.229999999996,7203.8499999999985,5797.650000000002,4971.24,7509.959999999996,9922.970000000003,8291.12,6462.739999999993,277.67999999999995,1941.1900000000007,4496.669999999999,6774.719999999995,7483.279999999998,3939.2799999999957,894.1199999999993,340.58000000000015,1278.1899999999996,2077.06,3225.099999999997,4099.059999999997,1536.3000000000004,535.1599999999999,2558.2200000000003,3188.319999999998,4257.250000000002,5148.75,5402.010000000002,3287.2400000000002,1261.3999999999992,2749.07,2217.9599999999996,2659.7999999999997,3630.380000000001,3900.159999999999,2366.6200000000003,1299.3199999999995
침산,2,8370.74,7460.790000000002,5209.929999999998,6728.240000000003,8431.970000000003,7039.7,4415.350000000001,6863.340000000003,5175.67,4575.269999999997,6970.390000000005,9205.330000000005,7606.079999999999,5906.290000000004,257.2900000000001,1881.7000000000005,4141.07,6275.230000000007,6989.880000000003,3628.369999999999,820.5800000000006,659.1200000000003,1224.5900000000004,1954.7700000000004,2998.5200000000013,3766.0499999999993,1279.5300000000009,417.7899999999999,2470.55,3080.569999999999,4077.3100000000013,4948.200000000002,5078.980000000005,3057.300000000001,1265.8299999999997,2650.970000000001,2128.9199999999983,2676.789999999999,3587.280000000005,3628.9699999999993,2235.460000000001,1248.3200000000004
침산,3,7920.06,7894.649999999998,5596.22,6997.440000000001,8718.470000000003,6860.220000000001,4247.709999999999,6621.259999999999,5277.569999999997,5136.719999999998,7499.770000000004,9418.52,7383.030000000004,6052.169999999998,316.6300000000001,2247.7800000000007,5262.539999999995,7924.410000000003,8778.050000000003,4263.2699999999995,984.7899999999995,2780.2399999999943,1452.740000000001,2517.9699999999993,3794.79,4778.599999999998,1658.8299999999986,569.6400000000001,2271.59,3081.8899999999962,4148.949999999998,5402.099999999999,5613.36,3367.0900000000015,1410.3499999999983,2624.1099999999997,2293.080000000001,2859.8699999999985,3891.1300000000024,3984.1299999999997,2446.999999999998,1398.0399999999995
침산,4,7930.060000000001,7748.470000000002,5527.820000000003,7039.68,8725.500000000004,6789.07,4127.7300000000005,6510.84,5183.969999999999,4906.340000000003,7446.309999999998,9383.960000000008,7263.890000000006,5976.409999999999,490.6000000000001,2216.6699999999996,5488.260000000002,7903.709999999996,8957.860000000002,4321.160000000003,909.7400000000001,2815.5299999999957,1545.8300000000015,2532.010000000002,3896.2299999999973,4818.100000000002,1651.0899999999972,499.1799999999999,2252.89,3303.6699999999987,4470.379999999997,5795.38,5949.490000000001,3576.1199999999994,1456.8499999999997,2597.0399999999986,2344.6699999999987,2892.9800000000005,3982.690000000001,4179.100000000001,2514.9099999999985,1428.559999999999
